sale_commodity_id,price,role,time
11,162.00,admin,2023-01-05 12:45:32
11,156.75,admin,2023-12-10 08:00:00
11,159.25,admin,2023-12-15 09:30:00
11,159.99,admin,2023-12-20 11:00:00
12,319.99,admin,2022-12-12 13:23:45
12,322.00,admin,2023-01-05 12:45:32
12,317.75,admin,2023-12-10 08:00:00
12,319.25,admin,2023-12-15 09:30:00
12,319.99,admin,2023-12-20 11:00:00
13,899.99,admin,2022-12-13 13:00:00
13,902.50,admin,2023-01-05 12:45:32
13,898.25,admin,2023-12-10 08:00:00
13,900.75,admin,2023-12-15 09:30:00
13,899.99,admin,2023-12-21 11:00:00
14,99.99,admin,2022-12-14 00:00:00
14,102.50,admin,2023-03-01 08:45:00
14,97.80,admin,2023-06-20 11:45:00
14,100.25,admin,2023-10-15 15:30:00
14,98.60,admin,2023-12-20 14:20:00
15,109.88,admin,2022-12-15 00:00:00
15,112.50,admin,2023-03-01 08:45:00
15,107.80,admin,2023-06-20 11:45:00
15,110.25,admin,2023-10-15 15:30:00
15,108.60,admin,2023-12-23 17:00:00
16,369.99,admin,2022-12-16 00:00:00
16,389.99,admin,2022-12-30 08:30:00
16,415.50,admin,2023-06-15 16:45:00
16,398.25,admin,2023-11-20 21:12:00
16,387.75,admin,2023-12-23 17:00:00
17,429.88,admin,2022-12-17 00:00:00
17,450.75,admin,2023-01-02 09:15:00
17,480.50,admin,2023-06-25 14:30:00
17,465.25,admin,2023-11-30 19:45:00
17,443.75,admin,2023-12-23 17:00:00
18,589.99,admin,2022-12-18 00:00:00
18,608.75,admin,2023-01-03 10:30:00
18,634.50,admin,2023-07-16 17:45:00
18,618.25,admin,2023-12-21 23:00:00
19,429.88,admin,2022-12-19 00:00:00
19,449.75,admin,2023-01-04 11:45:00
19,478.50,admin,2023-07-27 19:00:00
19,463.25,admin,2023-12-02 00:15:00
19,441.75,admin,2023-12-23 17:00:00
20,179.99,admin,2022-12-20 00:00:00
20,198.75,admin,2023-01-05 12:00:00
20,224.50,admin,2023-08-09 22:15:00
20,208.25,admin,2023-12-03 03:30:00
20,192.00,admin,2023-12-23 09:45:00
21,189.88,admin,2022-12-21 00:00:00
21,208.75,admin,2023-01-06 13:15:00
21,234.50,admin,2023-08-22 03:30:00
21,218.25,admin,2023-12-22 08:45:00
22,239.99,admin,2022-12-22 00:00:00
22,258.75,admin,2023-01-07 14:30:00
22,284.50,admin,2023-09-04 18:45:00
23,699.99,admin,2023-12-23 00:00:00
24,119.88,admin,2022-12-24 00:00:00
24,138.75,admin,2023-01-09 19:00:00
24,164.50,admin,2023-06-29 04:15:00
24,152.80,admin,2023-09-09 15:30:00
24,145.90,admin,2023-08-14 13:45:00
25,129.99,admin,2022-12-25 00:00:00
25,148.75,admin,2023-01-10 22:15:00
25,174.50,admin,2023-10-10 12:30:00
25,162.80,admin,2023-06-20 03:45:00
25,155.90,admin,2023-08-24 01:00:00
26,434.50,admin,2022-12-26 16:45:00
26,422.80,admin,2023-11-11 05:15:00
26,415.90,admin,2023-12-22 03:30:00
27,449.88,admin,2022-12-27 00:00:00
27,468.75,admin,2023-01-12 22:15:00
27,494.50,admin,2023-11-10 12:30:00
27,482.80,admin,2023-12-21 03:45:00
28,349.99,admin,2022-12-28 00:00:00
28,368.75,admin,2023-01-13 23:30:00
28,394.50,admin,2023-08-30 16:45:00
28,382.80,admin,2023-09-10 05:15:00
28,375.90,admin,2023-12-14 03:30:00
29,499.88,admin,2022-12-29 00:00:00
29,518.75,admin,2023-01-14 22:15:00
29,544.50,admin,2023-12-10 12:30:00
29,532.80,admin,2023-12-21 03:45:00
30,199.99,admin,2022-12-30 00:00:00
30,218.75,admin,2023-01-15 23:30:00
30,244.50,admin,2023-12-20 16:45:00
31,169.88,admin,2022-12-31 00:00:00
31,188.75,admin,2023-01-16 22:15:00
31,214.50,admin,2023-09-30 12:30:00
31,202.80,admin,2023-11-11 03:45:00
31,195.90,admin,2023-12-15 01:00:00
32,5499.0,admin,2023-03-15 00:00:00
32,5439.0,admin,2023-06-15 14:30:00
32,5599.0,admin,2023-07-15 18:45:00
32,5299.0,admin,2023-11-16 11:15:00
32,5899.0,admin,2023-12-17 09:30:00
33,5699.0,admin,2022-12-28 00:00:00
33,5499.0,admin,2023-01-28 14:30:00
33,5799.0,admin,2023-06-28 18:45:00
33,5399.0,admin,2023-12-21 11:15:00
34,5450.0,admin,2022-12-29 00:00:00
34,5465.0,admin,2023-01-29 14:30:00
34,5440.0,admin,2023-06-29 18:45:00
34,5452.0,admin,2023-12-19 09:30:00
35,1299.0,admin,2022-12-30 00:00:00
35,1285.0,admin,2023-11-30 14:30:00
35,1302.0,admin,2023-12-17 18:45:00
36,999.0,admin,2023-01-10 00:00:00
36,1010.0,admin,2023-04-10 14:30:00
36,1005.0,admin,2023-05-10 18:45:00
36,999.0,admin,2023-12-11 11:15:00
37,1099.0,admin,2023-01-20 00:00:00
37,1115.0,admin,2023-12-20 14:30:00
38,88.0,admin,2023-02-01 00:00:00
38,90.0,admin,2023-05-01 14:30:00
38,92.0,admin,2023-12-01 18:45:00
39,99.0,admin,2023-02-02 00:00:00
39,98.0,admin,2023-05-02 14:30:00
39,100.0,admin,2023-07-02 18:45:00
39,97.0,admin,2023-09-03 11:15:00
39,96.0,admin,2023-12-04 09:30:00
40,5799.0,admin,2023-01-03 00:00:00
40,5785.0,admin,2023-11-03 14:30:00
40,5802.0,admin,2023-11-05 18:45:00
40,5809.0,admin,2023-12-04 11:15:00
41,1499.0,admin,2023-01-04 00:00:00
41,1515.0,admin,2023-06-04 14:30:00
41,1500.0,admin,2023-12-04 18:45:00
41,1495.0,admin,2023-12-05 11:15:00
42,999.0,admin,2023-01-10 00:00:00
42,985.0,admin,2023-08-22 14:30:00
42,1002.0,admin,2023-11-22 18:45:00
42,1009.0,admin,2023-12-23 11:15:00
43,1099.0,admin,2023-02-06 00:00:00
43,1085.0,admin,2023-05-06 14:30:00
43,1102.0,admin,2023-12-06 18:45:00
43,1109.0,admin,2023-12-20 11:15:00
44,6999.0,admin,2023-04-15 00:00:00
44,6985.0,admin,2023-06-15 14:30:00
44,7002.0,admin,2023-12-15 18:45:00
44,7009.0,admin,2023-12-20 11:15:00
45,799.0,admin,2023-04-20 00:00:00
45,785.0,admin,2023-06-20 14:30:00
45,802.0,admin,2023-07-20 18:45:00
45,809.0,admin,2023-11-21 11:15:00
45,815.0,admin,2023-12-22 09:30:00
46,750.0,admin,2023-04-13 00:00:00
46,735.0,admin,2023-08-13 14:30:00
46,752.0,admin,2023-11-13 18:45:00
46,765.0,admin,2023-12-15 09:30:00
47,180.0,admin,2023-02-20 00:00:00
48,5799.0,admin,2023-05-01 00:00:00
48,5785.0,admin,2023-09-01 14:30:00
48,5802.0,admin,2023-11-01 18:45:00
48,5809.0,admin,2023-12-02 11:15:00
48,5815.0,admin,2023-12-23 09:30:00
49,5699.0,admin,2023-04-01 00:00:00
49,5685.0,admin,2023-09-01 14:30:00
49,5702.0,admin,2023-11-01 18:45:00
49,5709.0,admin,2023-11-30 11:15:00
49,5715.0,admin,2023-12-23 09:30:00
50,5700.0,admin,2023-03-01 00:00:00
50,5685.0,admin,2023-05-01 14:30:00
50,5702.0,admin,2023-11-01 18:45:00
50,5709.0,admin,2023-12-02 11:15:00
50,5715.0,admin,2023-12-20 09:30:00
51,1399.0,admin,2023-05-02 00:00:00
51,1385.0,admin,2023-07-02 14:30:00
51,1415.0,admin,2023-12-20 09:30:00
52,259.0,admin,2023-05-03 00:00:00
52,257.0,admin,2023-07-04 11:15:00
52,256.0,admin,2023-12-19 09:30:00
53,250.0,admin,2023-04-03 00:00:00
53,248.0,admin,2023-06-03 14:30:00
53,252.0,admin,2023-11-03 18:45:00
53,249.0,admin,2023-12-04 11:15:00
53,247.0,admin,2023-12-22 09:30:00
54,249.0,admin,2023-03-20 00:00:00
54,248.0,admin,2023-05-20 14:30:00
54,250.0,admin,2023-11-20 18:45:00
54,247.0,admin,2023-12-21 11:15:00
55,389.99,admin,2023-05-04 00:00:00
55,388.99,admin,2023-09-04 14:30:00
55,390.99,admin,2023-11-04 18:45:00
55,387.99,admin,2023-12-05 11:15:00
55,386.99,admin,2023-12-20 09:30:00
56,4499.0,admin,2023-05-05 00:00:00
56,4485.0,admin,2023-09-05 14:30:00
56,4502.0,admin,2023-11-05 18:45:00
56,4509.0,admin,2023-12-06 11:15:00
57,299.99,admin,2023-05-06 00:00:00
57,298.99,admin,2023-10-06 14:30:00
57,300.99,admin,2023-11-06 18:45:00
57,297.99,admin,2023-12-07 11:15:00
58,68.0,admin,2023-05-07 00:00:00
58,67.0,admin,2023-09-07 14:30:00
58,69.0,admin,2023-10-07 18:45:00
58,66.0,admin,2023-11-08 11:15:00
58,65.0,admin,2023-12-19 09:30:00
59,79.99,admin,2023-05-08 00:00:00
59,78.99,admin,2023-07-08 14:30:00
59,80.99,admin,2023-09-08 18:45:00
59,77.99,admin,2023-10-09 11:15:00
59,76.99,admin,2023-12-19 09:30:00
60,899.0,admin,2023-05-09 00:00:00
60,898.0,admin,2023-08-09 14:30:00
60,900.0,admin,2023-10-09 18:45:00
60,897.0,admin,2023-11-10 11:15:00
60,896.0,admin,2023-12-19 09:30:00
61,1299.0,admin,2023-05-10 00:00:00
61,1298.0,admin,2023-09-10 14:30:00
61,1296.0,admin,2023-12-12 09:30:00
62,349.88,admin,2023-05-11 00:00:00
62,347.88,admin,2023-12-12 11:15:00
62,346.88,admin,2023-12-23 09:30:00
63,599.0,admin,2023-05-12 00:00:00
63,600.0,admin,2023-07-12 18:45:00
63,597.0,admin,2023-11-24 11:15:00
63,596.0,admin,2023-12-23 09:30:01
64,199.0,admin,2023-05-13 00:00:00
64,198.0,admin,2023-09-13 14:30:00
64,200.0,admin,2023-11-27 18:45:00
64,197.0,admin,2023-12-14 11:15:00
64,196.0,admin,2023-12-20 09:30:00
65,88.0,admin,2023-05-14 00:00:00
65,87.0,admin,2023-08-14 14:30:00
65,89.0,admin,2023-11-14 18:45:00
65,86.0,admin,2023-11-25 11:15:00
65,85.0,admin,2023-12-19 09:30:00
66,799.0,admin,2023-05-15 00:00:00
66,798.0,admin,2023-09-15 14:30:00
66,796.0,admin,2023-12-20 09:30:00
67,2799.0,admin,2023-05-16 00:00:00
67,2797.0,admin,2023-08-17 11:15:00
67,2796.0,admin,2023-11-30 09:30:00
68,2299.0,admin,2023-05-17 00:00:00
68,2297.0,admin,2023-11-18 11:15:00
68,2296.0,admin,2023-12-19 09:30:00
69,4499.0,admin,2023-05-18 00:00:00
69,4485.0,admin,2023-11-18 14:30:00
69,4502.0,admin,2023-12-18 18:45:00
69,4509.0,admin,2023-12-20 11:15:00
70,799.0,admin,2023-05-19 00:00:00
70,798.0,admin,2023-09-19 14:30:00
70,800.0,admin,2023-11-19 18:45:00
70,797.0,admin,2023-12-20 11:15:00
71,299.0,admin,2023-05-20 00:00:00
71,298.0,admin,2023-12-20 14:30:00
